transaction_id,order_date,product_name,category,quantity,unit_price,revenue,city,payment_method,delivery_status,year,month,month_name,quarter
TXN014642,2023-01-01,Nail Polish,Beauty,1,422133.17,422133.17,Ibadan,Transfer,Delivered,2023,1,January,1
TXN016950,2023-01-01,Table Lamp,Home,4,341766.13,1367064.52,Abuja,USSD,Cancelled,2023,1,January,1
TXN007850,2023-01-01,Samsung Galaxy,Electronics,1,42785.33,42785.33,Ibadan,Cash,Delivered,2023,1,January,1
TXN012144,2023-01-01,LG TV,Electronics,2,461241.07,922482.14,Lagos,Cash,Pending,2023,1,January,1
TXN019388,2023-01-01,Perfume,Beauty,2,173759.0,347518.0,Enugu,Cash,Delivered,2023,1,January,1
TXN004703,2023-01-01,Makeup Kit,Beauty,3,79491.89,238475.67,Kano,Transfer,Delivered,2023,1,January,1
TXN006428,2023-01-01,Makeup Kit,Beauty,4,386305.17,1545220.68,Enugu,Transfer,Pending,2023,1,January,1
TXN004831,2023-01-01,Hair Extension,Beauty,4,82072.13,328288.52,Lagos,USSD,Pending,2023,1,January,1
TXN019751,2023-01-01,Table Lamp,Home,2,85142.39,170284.78,Lagos,Card,Pending,2023,1,January,1
TXN019589,2023-01-01,Samsung Galaxy,Electronics,4,200348.52,801394.08,Kano,USSD,Cancelled,2023,1,January,1
TXN005792,2023-01-01,Skincare Set,Beauty,3,128439.49,385318.47,Port Harcourt,Card,Delivered,2023,1,January,1
TXN011680,2023-01-01,Nike Sneakers,Fashion,3,175241.35,525724.05,Port Harcourt,Transfer,Delivered,2023,1,January,1
TXN008209,2023-01-01,Gucci Bag,Fashion,3,121937.32,365811.96,Kano,Cash,Pending,2023,1,January,1
TXN014962,2023-01-01,Blender,Home,4,264373.97,1057495.88,Ibadan,Card,Cancelled,2023,1,January,1
TXN016190,2023-01-01,Gucci Bag,Fashion,1,161743.71,161743.71,Abuja,Cash,Cancelled,2023,1,January,1
TXN011628,2023-01-01,Table Lamp,Home,4,78378.85,313515.4,Port Harcourt,Transfer,Delivered,2023,1,January,1
TXN015047,2023-01-01,JBL Speaker,Electronics,4,109782.22,439128.88,Lagos,Transfer,Delivered,2023,1,January,1
TXN011484,2023-01-01,Blender,Home,4,286309.06,1145236.24,Abuja,Cash,Pending,2023,1,January,1
TXN000330,2023-01-01,JBL Speaker,Electronics,2,401658.2,803316.4,Lagos,Cash,Delivered,2023,1,January,1
TXN003914,2023-01-01,Senator Outfit,Fashion,1,178949.28,178949.28,Enugu,USSD,Cancelled,2023,1,January,1
TXN001383,2023-01-01,Skincare Set,Beauty,5,243435.88,1217179.4,Port Harcourt,Transfer,Pending,2023,1,January,1
TXN019456,2023-01-01,Wristwatch,Fashion,4,126646.37,506585.48,Lagos,Transfer,Pending,2023,1,January,1
TXN008357,2023-01-01,Nail Polish,Beauty,5,291684.58,1458422.9,Enugu,Transfer,Pending,2023,1,January,1
TXN010853,2023-01-01,Rice Cooker,Home,2,373161.62,746323.24,Enugu,Cash,Delivered,2023,1,January,1
TXN005521,2023-01-01,HP Laptop,Electronics,4,422748.86,1690995.44,Port Harcourt,Cash,Pending,2023,1,January,1
TXN007874,2023-01-01,Hair Extension,Beauty,4,382770.4,1531081.6,Port Harcourt,Cash,Delivered,2023,1,January,1
TXN000018,2023-01-01,Rug,Home,4,181094.55,724378.2,Abuja,USSD,Cancelled,2023,1,January,1
TXN002851,2023-01-01,Perfume,Beauty,4,100453.65,401814.6,Abuja,Card,Pending,2023,1,January,1
TXN015044,2023-01-02,Rice Cooker,Home,3,113509.25,340527.75,Lagos,Transfer,Cancelled,2023,1,January,1
TXN002698,2023-01-02,Blender,Home,1,139993.3,139993.3,Kano,Transfer,Delivered,2023,1,January,1
TXN003525,2023-01-02,Makeup Kit,Beauty,2,176614.15,353228.3,Port Harcourt,Transfer,Pending,2023,1,January,1
TXN014130,2023-01-02,Rug,Home,3,40408.96,121226.88,Enugu,Transfer,Cancelled,2023,1,January,1
TXN006344,2023-01-02,LG TV,Electronics,3,180141.19,540423.57,Enugu,Transfer,Pending,2023,1,January,1
TXN004626,2023-01-02,Skincare Set,Beauty,2,301255.68,602511.36,Abuja,Card,Pending,2023,1,January,1
TXN003459,2023-01-02,Perfume,Beauty,1,21541.5,21541.5,Abuja,USSD,Pending,2023,1,January,1
TXN011384,2023-01-02,Table Lamp,Home,3,242397.03,727191.09,Kano,Transfer,Delivered,2023,1,January,1
TXN019765,2023-01-02,Nail Polish,Beauty,3,217129.73,651389.19,Abuja,USSD,Delivered,2023,1,January,1
TXN002675,2023-01-02,Blender,Home,3,407334.92,1222004.76,Lagos,Card,Cancelled,2023,1,January,1
TXN007579,2023-01-02,Makeup Kit,Beauty,1,186376.43,186376.43,Abuja,Card,Cancelled,2023,1,January,1
TXN015808,2023-01-02,Cooking Pot,Home,1,499064.12,499064.12,Kano,USSD,Cancelled,2023,1,January,1
TXN007282,2023-01-02,Nike Sneakers,Fashion,1,76828.47,76828.47,Enugu,Card,Cancelled,2023,1,January,1
TXN010277,2023-01-02,Nike Sneakers,Fashion,2,477449.06,954898.12,Port Harcourt,Transfer,Delivered,2023,1,January,1
TXN008079,2023-01-02,Skincare Set,Beauty,4,492493.23,1969972.92,Enugu,Cash,Pending,2023,1,January,1
TXN005954,2023-01-02,Table Lamp,Home,2,263271.98,526543.96,Lagos,Transfer,Pending,2023,1,January,1
TXN009085,2023-01-02,Cooking Pot,Home,4,240232.75,960931.0,Lagos,USSD,Cancelled,2023,1,January,1
TXN009719,2023-01-02,Nail Polish,Beauty,4,484364.84,1937459.36,Enugu,USSD,Delivered,2023,1,January,1
TXN006753,2023-01-02,Gucci Bag,Fashion,4,98073.11,392292.44,Port Harcourt,Cash,Delivered,2023,1,January,1
TXN013202,2023-01-02,Senator Outfit,Fashion,2,129400.07,258800.14,Lagos,USSD,Cancelled,2023,1,January,1
TXN000436,2023-01-02,Nike Sneakers,Fashion,3,56342.99,169028.97,Lagos,Card,Cancelled,2023,1,January,1
TXN007032,2023-01-02,Skincare Set,Beauty,3,162568.44,487705.32,Port Harcourt,USSD,Cancelled,2023,1,January,1
TXN010779,2023-01-02,JBL Speaker,Electronics,5,399512.01,1997560.05,Abuja,Cash,Delivered,2023,1,January,1
TXN001612,2023-01-02,Senator Outfit,Fashion,5,93908.41,469542.05,Lagos,Cash,Cancelled,2023,1,January,1
TXN005373,2023-01-02,Hair Extension,Beauty,2,335847.59,671695.18,Ibadan,Card,Cancelled,2023,1,January,1
TXN016217,2023-01-02,Rice Cooker,Home,1,443738.75,443738.75,Lagos,Cash,Pending,2023,1,January,1
TXN003935,2023-01-02,JBL Speaker,Electronics,5,130647.67,653238.35,Kano,Transfer,Pending,2023,1,January,1
TXN011558,2023-01-02,Makeup Kit,Beauty,5,454568.7,2272843.5,Enugu,Cash,Cancelled,2023,1,January,1
TXN004525,2023-01-03,Ankara Dress,Fashion,3,189189.14,567567.42,Enugu,Card,Delivered,2023,1,January,1
TXN015575,2023-01-03,Samsung Galaxy,Electronics,2,315804.39,631608.78,Enugu,Cash,Cancelled,2023,1,January,1
TXN014782,2023-01-03,Perfume,Beauty,2,307648.55,615297.1,Ibadan,Cash,Pending,2023,1,January,1
TXN012168,2023-01-03,Nail Polish,Beauty,3,213962.38,641887.14,Port Harcourt,Transfer,Delivered,2023,1,January,1
TXN005371,2023-01-03,Skincare Set,Beauty,3,146979.95,440939.85,Enugu,USSD,Delivered,2023,1,January,1
TXN002015,2023-01-03,LG TV,Electronics,2,143399.06,286798.12,Lagos,USSD,Delivered,2023,1,January,1
TXN006349,2023-01-03,HP Laptop,Electronics,2,62427.19,124854.38,Ibadan,Cash,Delivered,2023,1,January,1
TXN013586,2023-01-03,Senator Outfit,Fashion,3,417023.44,1251070.32,Lagos,Transfer,Delivered,2023,1,January,1
TXN010559,2023-01-03,iPhone,Electronics,1,7993.54,7993.54,Port Harcourt,Transfer,Pending,2023,1,January,1
TXN009259,2023-01-03,Perfume,Beauty,4,78545.44,314181.76,Abuja,Transfer,Cancelled,2023,1,January,1
TXN000050,2023-01-03,Wristwatch,Fashion,3,405545.69,1216637.07,Ibadan,Cash,Delivered,2023,1,January,1
TXN013598,2023-01-03,Ankara Dress,Fashion,1,285575.7,285575.7,Port Harcourt,Cash,Pending,2023,1,January,1
TXN012439,2023-01-03,Skincare Set,Beauty,5,314402.35,1572011.75,Ibadan,Transfer,Delivered,2023,1,January,1
TXN001862,2023-01-03,Senator Outfit,Fashion,2,190492.68,380985.36,Port Harcourt,Transfer,Cancelled,2023,1,January,1
TXN001593,2023-01-03,JBL Speaker,Electronics,1,416768.24,416768.24,Enugu,Card,Delivered,2023,1,January,1
TXN003863,2023-01-03,Hair Extension,Beauty,2,45227.06,90454.12,Lagos,Card,Pending,2023,1,January,1
TXN009434,2023-01-03,Cooking Pot,Home,2,16924.55,33849.1,Abuja,Cash,Cancelled,2023,1,January,1
TXN003852,2023-01-03,Nike Sneakers,Fashion,1,287672.66,287672.66,Enugu,Card,Pending,2023,1,January,1
TXN001758,2023-01-03,Hair Extension,Beauty,3,196176.73,588530.19,Port Harcourt,Transfer,Pending,2023,1,January,1
TXN007131,2023-01-03,Hair Extension,Beauty,1,226780.25,226780.25,Port Harcourt,Transfer,Cancelled,2023,1,January,1
TXN015362,2023-01-03,Gucci Bag,Fashion,1,451010.12,451010.12,Abuja,Transfer,Delivered,2023,1,January,1
TXN011730,2023-01-03,Table Lamp,Home,2,385369.18,770738.36,Ibadan,USSD,Pending,2023,1,January,1
TXN019133,2023-01-03,LG TV,Electronics,3,105253.32,315759.96,Lagos,Cash,Pending,2023,1,January,1
TXN011648,2023-01-03,Hair Extension,Beauty,4,447350.39,1789401.56,Enugu,Card,Delivered,2023,1,January,1
TXN013169,2023-01-03,Ankara Dress,Fashion,2,333832.26,667664.52,Abuja,Card,Pending,2023,1,January,1
